trade_date,000001.SZ,600519.SH,000858.SZ
2024-09-18,0.426784,0.303755,0.269461
2024-09-19,0.431587,0.305860,0.262553
2024-09-20,0.429757,0.306862,0.263381
2024-09-23,0.426944,0.309592,0.263464
2024-09-24,0.453523,0.279524,0.266952
2024-09-25,0.458300,0.277423,0.264276
2024-09-26,0.444860,0.286384,0.268756
2024-09-27,0.464005,0.284530,0.251466
2024-09-30,0.443624,0.299304,0.257072
2024-10-08,0.431350,0.306125,0.262525
2024-10-09,0.398325,0.327222,0.274454
2024-10-10,0.391969,0.330437,0.277595
2024-10-11,0.390626,0.330570,0.278804
2024-10-14,0.387728,0.331496,0.280776
2024-10-15,0.390641,0.330359,0.278999
2024-10-16,0.391190,0.329718,0.279092
2024-10-17,0.391954,0.329625,0.278421
2024-10-18,0.393525,0.328429,0.278045
2024-10-21,0.391773,0.329277,0.278951
2024-10-22,0.391491,0.329822,0.278687
2024-10-23,0.392412,0.329507,0.278081
2024-10-24,0.390001,0.330944,0.279055
2024-10-25,0.389890,0.331217,0.278893
2024-10-28,0.390729,0.332343,0.276928
2024-10-29,0.391713,0.331681,0.276605
2024-10-30,0.389382,0.333400,0.277219
2024-10-31,0.389331,0.333977,0.276692
2024-11-01,0.388696,0.334940,0.276363
2024-11-04,0.387160,0.336151,0.276689
2024-11-05,0.388244,0.335756,0.276000
2024-11-06,0.387974,0.336229,0.275797
2024-11-07,0.392915,0.334968,0.272116
2024-11-08,0.393700,0.335085,0.271215
2024-11-11,0.393188,0.335496,0.271315
2024-11-12,0.393460,0.334998,0.271542
2024-11-13,0.393560,0.334943,0.271497
2024-11-14,0.393150,0.334938,0.271911
2024-11-15,0.392953,0.335102,0.271945
2024-11-18,0.391246,0.336427,0.272326
2024-11-19,0.391413,0.336157,0.272430
2024-11-20,0.391783,0.335868,0.272349
2024-11-21,0.391545,0.335926,0.272529
2024-11-22,0.390190,0.336747,0.273064
2024-11-25,0.389740,0.336912,0.273347
2024-11-26,0.389824,0.336829,0.273347
2024-11-27,0.389055,0.336494,0.274451
2024-11-28,0.389481,0.336924,0.273595
2024-11-29,0.388967,0.336289,0.274743
2024-12-02,0.389333,0.334929,0.275738
2024-12-03,0.387871,0.335276,0.276854
2024-12-04,0.385317,0.337338,0.277345
2024-12-05,0.385346,0.337389,0.277265
2024-12-06,0.384510,0.337753,0.277737
2024-12-09,0.384572,0.337791,0.277637
2024-12-10,0.384655,0.337242,0.278103
2024-12-11,0.386479,0.336412,0.277109
2024-12-12,0.386863,0.335826,0.277311
2024-12-13,0.389397,0.333624,0.276979
2024-12-16,0.387740,0.336590,0.275669
2024-12-17,0.385771,0.336341,0.277888
2024-12-18,0.383816,0.338793,0.277391
2024-12-19,0.383566,0.338140,0.278293
2024-12-20,0.383723,0.337899,0.278378
2024-12-23,0.383940,0.337733,0.278328
2024-12-24,0.371071,0.353452,0.275477
2024-12-25,0.370935,0.353910,0.275155
2024-12-26,0.359064,0.368162,0.272775
2024-12-27,0.339452,0.375609,0.284939
2024-12-30,0.330390,0.379525,0.290084
2024-12-31,0.344375,0.372051,0.283574
